Error #;Description;end
0;нет ошибок;
1;Неизвестная команда, неверный формат посылки или неизвестные параметры;
2;Неверное состояние ФН ;
3;Ошибка ФН ;
4;Ошибка КС ;
5;Закончен срок эксплуатации ФН ;
6;Архив ФН переполнен ;
7;Неверные дата и/или время ;
8;Нет запрошенных данных ;
9;Некорректное значение параметров команды ;
16;Превышение размеров TLV данных ;
17;Нет транспортного соединения ;
18;Исчерпан ресурс КС (криптографического сопроцессора) ;
20;Исчерпан ресурс хранения ;
21;Исчерпан ресурс Ожидания передачи сообщения ;
22;Продолжительность смены более 24 часов ;
23;Неверная разница во времени между 2 операцими ;
32;Сообщение от ОФД не может быть принято ;
47;Таймаут обмена с ФН ;
48;ФН не отвечает ;
51;Некорректные параметры в команде ;
52;Нет данных ;
53;Некорректный параметр при данных настройках ;
54;Некорректные параметры в команде для данной реализации ККТ ;
55;Команда не поддерживается в данной реализации ККТ ;
56;Ошибка в ПЗУ ;
57;Внутренняя ошибка ПО ККТ ;
58;Переполнение накопления по надбавкам в смене ;
60;Смена открыта – операция не возможна ;
61;Смена не открыта – операция не возможна ;
62;Переполнение накопления по секциям в смене ;
63;Переполнение накопления по скидкам в смене ;
64;Переполнение диапазона скидок ;
65;Переполнение диапазона оплаты наличными ;
66;Переполнение диапазона оплаты типом 2 ;
67;Переполнение диапазона оплаты типом 3 ;
68;Переполнение диапазона оплаты типом 4 ;
69;Cумма всех типов оплаты меньше итога чека ;
70;Не хватает наличности в кассе ;
71;Переполнение накопления по налогам в смене ;
72;Переполнение итога чека ;
73;Операция невозможна в открытом чеке данного типа ;
74;Открыт чек – операция невозможна ;
75;Буфер чека переполнен ;
76;Переполнение накопления по обороту налогов в смене ;
77;Вносимая безналичной оплатой сумма больше суммы чека ;
78;Смена превысила 24 часа ;
79;Неверный пароль ;
80;Идет печать результатов выполнения предыдущей команды ;
81;Переполнение накоплений наличными в смене ;
82;Переполнение накоплений по типу оплаты 2 в смене ;
83;Переполнение накоплений по типу оплаты 3 в смене ;
84;Переполнение накоплений по типу оплаты 4 в смене ;
85;Чек закрыт – операция невозможна ;
86;Нет документа для повтора ;
88;Ожидание команды продолжения печати ;
89;Документ открыт другим оператором ;
91;Переполнение диапазона надбавок ;
92;Понижено напряжение 24В ;
93;Таблица не определена ;
94;Неверная операция ;
95;Отрицательный итог чека ;
96;Переполнение при умножении ;
97;Переполнение диапазона цены ;
98;Переполнение диапазона количества ;
99;Переполнение диапазона отдела ;
101;Не хватает денег в секции ;
102;Переполнение денег в секции ;
104;Не хватает денег по обороту налогов ;
105;Переполнение денег по обороту налогов ;
106;Ошибка питания в момент ответа по I2C ;
107;Нет чековой ленты ;
109;Не хватает денег по налогу ;
110;Переполнение денег по налогу ;
111;Переполнение по выплате в смене ;
113;Ошибка отрезчика ;
114;Команда не поддерживается в данном подрежиме ;
115;Команда не поддерживается в данном режиме ;
116;Ошибка ОЗУ ;
117;Ошибка питания ;
119;Ошибка принтера: нет сигнала с датчиков ;
120;Замена ПО ;
122;Поле не редактируется ;
123;Ошибка оборудования ;
124;Не совпадает дата ;
125;Неверный формат даты ;
126;Неверное значение в поле длины ;
127;Переполнение диапазона итога чека ;
132;Переполнение наличности ;
133;Переполнение по продажам в смене ;
134;Переполнение по покупкам в смене ;
135;Переполнение по возвратам продаж в смене ;
136;Переполнение по возвратам покупок в смене ;
137;Переполнение по внесению в смене ;
138;Переполнение по надбавкам в чеке ;
139;Переполнение по скидкам в чеке ;
140;Отрицательный итог надбавки в чеке ;
141;Отрицательный итог скидки в чеке ;
142;Нулевой итог чека ;
144;Поле превышает размер, установленный в настройках ;
145;Выход за границу поля печати при данных настройках шрифта ;
146;Наложение полей ;
147;Восстановление ОЗУ прошло успешно ;
148;Исчерпан лимит операций в чеке ;
192;Контроль даты и времени (подтвердите дату и время) ;
194;Превышение напряжения в блоке питания ;
196;Несовпадение номеров смен ;
199;Поле не редактируется в данном режиме ;
200;Нет связи с принтером или отсутствуют импульсы от таходатчика ;
